© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
GADD45 Signaling	2.01E00	3.68E-01	NaN	TP53,PCNA,CDKN1A,MAP3K4,BRCA1,CDK2,CDK1
DNA damage-induced 14-3-3σ Signaling	2.01E00	3.68E-01	NaN	TP53,AKT2,AKT1,SFN,BRCA1,CDK2,CDK1
IL-22 Signaling	1.99E00	3.33E-01	NaN	AKT2,MAPK14,AKT1,MAPK3,TYK2,MAPK8,STAT3,STAT5B
Oncostatin M Signaling	1.97E00	2.75E-01	NaN	RAF1,NRAS,RALA,GRB2,MAPK3,RALB,TYK2,KRAS,STAT3,CHI3L1,STAT5B
Type II Diabetes Mellitus Signaling	1.95E00	1.88E-01	NaN	PRKAB1,SLC27A2,PIK3R1,PKM,CACNB3,IKBKB,MTOR,IKBKG,NFKBIA,AKT1,MAPK3,PRKCE,CHUK,NSMAF,PPARG,AKT2,TNFRSF1A,GRB2,FGFR1,MAP3K1,CACNB4,MAPK8,IRS4,FGFR2,IKBKE,CACNA1A,TRAF2,CACNA2D1,INSR
BMP signaling pathway	1.94E00	2.2E-01	NaN	RAF1,MAGED1,RALA,NRAS,SMAD9,GRB2,CREBBP,RALB,MAPK8,KRAS,SMURF1,ATF2,MAPK14,MAPK3,CREB1,PRKACA,SMAD1,BMP1
IL-17A Signaling in Fibroblasts	1.93E00	2.86E-01	NaN	TRAF6,IKBKB,IKBKG,MAPK14,NFKBIA,MAPK3,IKBKE,GSK3B,CHUK,IL17RA
Superpathway of Serine and Glycine Biosynthesis I	1.93E00	5.71E-01	NaN	PSPH,PHGDH,UBAC2,SHMT2
Docosahexaenoic Acid (DHA) Signaling	1.92E00	2.5E-01	NaN	AKT2,CASP3,GRB2,PIK3R1,FGFR1,FGFR2,GSK3A,BAX,APP,BCL2,BCL2L1,AKT1,GSK3B
IL-3 Signaling	1.91E00	2.13E-01	NaN	RAPGEF1,STAT6,GAB2,RAF1,PTPN6,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,KRAS,STAT3,AKT1,MAPK3,PRKCE,STAT5B
Colorectal Cancer Metastasis Signaling	1.91E00	1.69E-01	NaN	SIAH1,TCF4,TGFBR1,RALA,AXIN1,PIK3R1,SMAD3,GNB5,KRAS,MLH1,GNB1,MYC,AKT1,RHOT1,MAPK3,GSK3B,NOS2,CTNNB1,PTGER4,EGFR,TP53,SMAD2,SRC,AKT2,NRAS,CASP3,TNFRSF1A,GRB2,FGFR1,RALB,TYK2,ADCY6,MAPK8,FGFR2,STAT3,BAX,TCF3,BCL2L1,CDH1,GNB2,PRKACA,LRP1,TCF7L2
Actin Cytoskeleton Signaling	1.9E00	1.72E-01	NaN	KNG1,RAC2,RAF1,MPRIP,FN1,PFN1,RALA,F2R,PIK3R1,ARHGEF7,MYLK2,KRAS,CRK,IQGAP1,SLC9A1,FGF13,PPP1R12A,EZR,MAPK3,PFN2,ACTC1,ACTA1,ACTN1,MATK,ITGA4,ITGB1,ACTR2,TIAM1,NRAS,CFL1,GRB2,FGFR1,ACTB,ACTN2,RALB,FGFR2,ITGA5,GIT1,ACTA2,ACTN4
Thrombopoietin Signaling	1.87E00	2.25E-01	NaN	RAF1,GAB2,RALA,NRAS,GRB2,FGFR1,PIK3R1,RALB,FGFR2,KRAS,STAT3,MYC,PLCG2,MAPK3,PRKCE,STAT5B
Systemic Lupus Erythematosus Signaling	1.87E00	1.71E-01	NaN	KNG1,CD247,RALA,HLA-A,PIK3R1,HLA-B,HNRNPA2B1,KRAS,PRPF4,IGHG1,FCGR2B,FCGR1A,NFATC1,SNRPN,MTOR,AKT1,PRPF4B,MAPK3,PRPF40A,SNRPD3,PRPF40B,HNRNPC,AKT2,PTPN6,NRAS,CD79B,SNRPB,GRB2,FGFR1,RALB,FGFR2,CD79A,CD3D,CBL,LSM12,PLCG2,CREM,LYN,NFATC2,PIM2
Axonal Guidance Signaling	1.86E00	1.53E-01	NaN	SLIT3,RAC2,TUBA1B,RAF1,KLC1,PFN1,ITSN1,PIK3R1,GNB5,KRAS,TUBB,GNB1,MAPK3,TUBA1C,SRGAP2,GSK3B,CHMP1A,RASA1,ITGA4,ACTR2,AKT2,CFL1,KALRN,COPS5,FGFR1,RALB,FGFR2,ITGA5,L1CAM,SDCBP,PLCG2,PRKACA,GNB2,RTN4,NRP1,FYN,RALA,PDIA3,ARHGEF7,ABL1,CRK,EIF4E,NFATC1,TUBB2B,AKT1,TUBA8,CDK5,SDC2,EFNB1,NTRK1,MKNK1,PRKCE,PFN2,TUBB4A,ERBB2,ROBO2,TUBA3E,SEMA3B,BMP1,ITGB1,NRAS,TUBB4B,GRB2,TUBG1,TUBA4A,GIT1,TUBA1A,SEMA4G,NFATC2,AFG3L2
Nur77 Signaling in T Lymphocytes	1.86E00	2.37E-01	NaN	CD247,CALM1 (includes others),HDAC9,CASP3,HDAC2,HLA-A,HLA-B,HDAC1,NR4A1,RXRA,CD3D,NFATC1,BCL2,EP300
Gαs Signaling	1.84E00	2E-01	NaN	HTR6,SRC,PTGIR,VIPR2,RYR2,CREBBP,CREB3,GNB5,ADCY6,RAPGEF4,EP300,ATF2,GNB1,ADD3,RAPGEF2,MAPK3,CREB1,PTH1R,GNB2,PRKACA,PTGER4,ADRB2
Role of MAPK Signaling in the Pathogenesis of Influenza	1.84E00	2.18E-01	NaN	RAF1,AKT2,RALA,NRAS,CASP3,PLA2G10,RALB,MAPK8,KRAS,BAX,PLA2G2A,ATF2,RABGEF1,BCL2,MAPK14,AKT1,MAPK3
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.84E00	1.88E-01	NaN	PPP1R12C,PTPN23,PTPN2,MTMR9,NUDT3,IGBP1,STYX,STYXL1,PPP4C,PTEN,CDC25B,SET,PPP1CC,ATP1A1,PPP1R12A,PDCD1,DUSP10,PTPN1,PPP1CA,RASA1,PTPRN,PPFIA1,CDC25C,PTPN6,DUSP14,DUSP13,PPM1H
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.84E00	1.88E-01	NaN	PPP1R12C,PTPN23,PTPN2,MTMR9,NUDT3,IGBP1,STYX,STYXL1,PPP4C,PTEN,CDC25B,SET,PPP1CC,ATP1A1,PPP1R12A,PDCD1,DUSP10,PTPN1,PPP1CA,RASA1,PTPRN,PPFIA1,CDC25C,PTPN6,DUSP14,DUSP13,PPM1H
Adrenomedullin signaling pathway	1.83E00	1.75E-01	NaN	CRCP,RAF1,KCNN4,RALA,PDIA3,PIK3R1,MYLK2,GSK3A,KRAS,HIF1A,NOS3,BCL2,AKT1,TFAP2A,MAPK3,GSK3B,MATK,PPARG,AKT2,NRAS,CASP3,GRB2,FGFR1,RALB,ADCY6,MAPK8,MAPK6,FGFR2,ITPR1,BAX,CALM1 (includes others),MAPK14,PLCG2,PRKACA,RXRA
UVB-Induced MAPK Signaling	1.81E00	2.27E-01	NaN	TP53,RPS6KB1,GRB2,FGFR1,PIK3R1,MAPK8,FGFR2,EIF4E,MTOR,MAPK14,AKT1,H3F3A/H3F3B,MAPK3,PRKCE,EGFR
Amyotrophic Lateral Sclerosis Signaling	1.81E00	1.98E-01	NaN	PRPH,TP53,GRIN2B,RAB5C,CASP3,GRB2,PIK3R1,FGFR1,NEFM,FGFR2,BAX,RAB5B,ALS2,CACNA1A,BCL2,CAPN8,BCL2L1,CAPNS1,HECW1,CAPN1,CAPN2,CASP7
Antiproliferative Role of TOB in T Cell Signaling	1.79E00	3.08E-01	NaN	PABPC1,SMAD2,TGFBR1,PABPC4,SMAD3,CUL1,RPS6KA1,CDK2
GM-CSF Signaling	1.79E00	2.15E-01	NaN	RAF1,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,FGFR2,KRAS,STAT3,BCL2L1,AKT1,MAPK3,LYN,STAT5B,CAMK2B
Synaptic Long Term Potentiation	1.74E00	1.9E-01	NaN	GRIN2B,RAF1,RALA,NRAS,GRM1,PDIA3,CREBBP,CREB3,RALB,KRAS,ITPR1,ATF2,EP300,CALM1 (includes others),PPP1CC,PPP1R12A,PLCG2,MAPK3,CREB1,PRKACA,PRKCE,RPS6KA1,PPP1CA,CAMK2B
UVC-Induced MAPK Signaling	1.74E00	2.45E-01	NaN	TP53,SRC,RAF1,MAPK14,NRAS,RALA,MAPK3,RALB,MAPK8,PRKCE,KRAS,EGFR
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.74E00	2.81E-01	NaN	CD247,CASP3,HLA-A,HLA-B,CASP8,CD3D,FAS,CASP7,BCL2
P2Y Purigenic Receptor Signaling Pathway	1.74E00	1.86E-01	NaN	RAF1,RALA,PDIA3,PIK3R1,GNB5,KRAS,EP300,MYC,GNB1,AKT1,MAPK3,CREB1,PRKCE,AKT2,NRAS,GRB2,FGFR1,RALB,CREB3,CREBBP,ADCY6,FGFR2,ATF2,PLCG2,GNB2,PRKACA
Leukocyte Extravasation Signaling	1.72E00	1.71E-01	NaN	RAC2,ICAM1,PIK3R1,CTNNA1,ABL1,AFDN,CRK,RAPGEF4,MAP3K4,EZR,PRKCE,CTNNB1,ACTC1,ACTA1,ACTN1,ITGA4,ITGB1,SRC,VCAM1,GRB2,ACTN2,ACTB,FGFR1,MAPK8,FGFR2,THY1,ITGA5,BMX,BTK,MAPK14,ACTA2,CDH5,PLCG2,CD44,ACTN4,CTNND1
Macropinocytosis Signaling	1.71E00	2.07E-01	NaN	ITGB1,SRC,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,ITGA5,FGFR2,KRAS,ABI1,CSF1,PLCG2,PRKCE,ACTN4,ITGB4,ITGB5
Superpathway of Methionine Degradation	1.71E00	2.63E-01	NaN	EEF1AKMT3,AHCYL1,SUV39H2,PRMT5,DLD,EHMT1,MAT2A,AHCYL2,MRM2,NSUN4
GP6 Signaling Pathway	1.71E00	1.87E-01	NaN	FYN,PIK3R1,GSK3A,LAMC1,AKT1,LAMA1,LAMB1,PRKCE,GSK3B,AKT2,GRB2,FGFR1,FGFR2,LAMC3,COL4A3BP,ITPR1,LAMC2,LAMB2,BTK,CALM1 (includes others),COL1A1,GRAP2,LAMB3,PLCG2,LYN
TNFR1 Signaling	1.69E00	2.4E-01	NaN	IKBKB,IKBKG,TRAF2,NFKBIA,CASP3,TNFRSF1A,MAP3K1,MAPK8,IKBKE,CHUK,CASP8,CASP7
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	1.69E00	3.53E-01	NaN	FDPS,MVD,ACAT1,HMGCR,FNTB,HMGCS1
Polyamine Regulation in Colon Cancer	1.68E00	3.18E-01	NaN	MYC,PPARG,TCF4,OAZ1,KRAS,CTNNB1,PSME3
RhoGDI Signaling	1.67E00	1.75E-01	NaN	GDI1,PPP1R12C,ARHGEF7,GNB5,EP300,GNB1,PPP1R12A,RHOT1,EZR,CDH13,ACTC1,ACTA1,ITGA4,ITGB1,ACTR2,SRC,CFL1,ACTB,CREBBP,ITGA5,CDH2,CDH1,CDH5,ACTA2,ARHGEF16,CD44,GNB2,CDH8,ARHGDIA,ARHGEF10,ESR1
IL-10 Signaling	1.66E00	2.17E-01	NaN	BLVRA,TYK2,MAPK8,IKBKE,STAT3,FCGR2B,TRAF6,IL1R2,IKBKB,IKBKG,MAPK14,NFKBIA,SP1,CHUK,MAP4K4
GABA Receptor Signaling	1.65E00	2E-01	NaN	AP2M1,AP2A1,UBB,KCNN4,UBQLN1,CACNB4,ADCY6,CACNB3,SLC6A13,AP2A2,GABRE,CACNA1A,GABRG2,GAD2,GAD1,CACNA2D1,GABRA6,GABARAP,UBC
GNRH Signaling	1.64E00	1.75E-01	NaN	RAF1,RALA,KRAS,MAP3K4,CACNB3,EP300,GNB1,MAP3K10,MAPK3,CREB1,PRKCE,CAMK2B,EGFR,SRC,NRAS,GRB2,MAP3K1,CACNB4,RALB,CREB3,CREBBP,ADCY6,MAPK8,ITPR1,CACNA1A,ATF2,CALM1 (includes others),MAPK14,CACNA2D1,PRKACA
Dopamine-DARPP32 Feedback in cAMP Signaling	1.64E00	1.77E-01	NaN	PPP2R2A,PPP2CA,PDIA3,ATP2A2,EP300,PPP1CC,CDK5,PPP1R12A,PPM1J,CREB1,PRKCE,PPP2R2C,PPP1CA,GRIN2B,CREB3,CREBBP,ADCY6,ITPR1,CACNA1A,ATF2,CALM1 (includes others),PPP2CB,PPP2R1A,PLCG2,KCNJ5,CREM,PPP2R2B,PRKACA,PPP2R1B
Glioma Invasiveness Signaling	1.63E00	2.11E-01	NaN	RALA,NRAS,F2R,GRB2,FGFR1,PIK3R1,VTN,RALB,FGFR2,KRAS,PLG,RHOT1,MAPK3,CD44,ITGAV,ITGB5
Toll-like Receptor Signaling	1.63E00	2.11E-01	NaN	ECSIT,UBB,TOLLIP,MAP3K1,MAPK8,IRAK1,TRAF6,IKBKB,IKBKG,MAPK14,NFKBIA,CHUK,UBC,MAP4K4,TRAF1,IRAK2
Rac Signaling	1.62E00	1.87E-01	NaN	ITGB1,RPS6KB1,RAF1,ACTR2,TIAM1,RALA,NRAS,CFL1,GRB2,PIK3R1,FGFR1,RALB,MAP3K1,MAPK8,FGFR2,ITGA5,KRAS,IQGAP1,CDK5R1,MAPK3,CD44,PARD3,ITGA4
Iron homeostasis signaling pathway	1.61E00	1.82E-01	NaN	SMAD3,CUL1,HIF1A,FXN,MAPK3,STAT5B,SMAD1,EGFR,BMP1,SMAD2,TYK2,HSPA9,NUBP1,STAT3,ATP6V1A,LYRM4,ATP6V0A1,FTL,ATP6V1F,MMS19,ATP6V0D1,FECH,BTRC,LRP1,ATP6V1B2
Xenobiotic Metabolism Signaling	1.6E00	1.58E-01	NaN	RAF1,RALA,GSTM5,PPP2CA,PPP2R2A,PIK3R1,KRAS,MAP3K4,PTGES3,EP300,CUL3,ALDH2,MAP3K10,HSP90B1,HSP90AB1,PPM1J,MAPK3,SUMO1,PRKCE,PPP2R2C,NOS2,GSTK1,CAMK2B,HDAC4,NRAS,GRB2,MED1,FGFR1,RALB,CREBBP,MAP3K1,MAPK8,FGFR2,SNW1,GSTO1,HDAC5,PPP2CB,FTL,PPP2R1A,MAPK14,PPP2R2B,HSP90AA1,ALDH18A1,NCOR2,RXRA,PPP2R1B,CYP2C8
Circadian Rhythm Signaling	1.59E00	2.65E-01	NaN	GRIN2B,VIPR2,CRY2,CREB1,CREB3,CREBBP,CRY1,ATF2,EP300
Apelin Muscle Signaling Pathway	1.58E00	3.33E-01	NaN	AKT2,TFAM,APLNR,AKT1,PRKAB1,NOS3
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.57E00	2.39E-01	NaN	NUDT18,NME4,ENTPD1,HNRNPA1,ENTPD6,CTPS2,AK4,PCK1,UMPS,NME7,DHX9
Serine Biosynthesis	1.56E00	6E-01	NaN	PSPH,PHGDH,UBAC2
Citrulline-Nitric Oxide Cycle	1.56E00	6E-01	NaN	ASS1,NOS2,NOS3
dTMP De Novo Biosynthesis	1.56E00	6E-01	NaN	TYMS,DHFR,SHMT2
IL-17 Signaling	1.55E00	1.98E-01	NaN	AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,MAPK8,FGFR2,KRAS,IL17RA,ATF2,TRAF6,MAPK14,AKT1,MAPK3,GSK3B,NOS2
Leucine Degradation I	1.54E00	4.44E-01	NaN	BCAT1,BCAT2,HMGCL,MCCC2
Glutamate Dependent Acid Resistance	1.54E00	1E00	NaN	GAD2,GAD1
Cardiac Hypertrophy Signaling	1.52E00	1.62E-01	NaN	RAF1,TGFBR1,RALA,PDIA3,PIK3R1,GNB5,KRAS,MAP3K4,EIF4E,EP300,GNB1,MAP3K10,MTOR,AKT1,RHOT1,MAPK3,CREB1,GSK3B,ADRB2,RPS6KB1,NRAS,GRB2,FGFR1,RALB,CREBBP,MAP3K1,ADCY6,MAPK8,FGFR2,CACNA1A,ATF2,ADRA1D,CALM1 (includes others),MAPK14,PLCG2,GNB2,PRKACA,RPS6KA1,HSPB1
Gαq Signaling	1.52E00	1.74E-01	NaN	RAF1,PIK3R1,GNB5,NFATC1,GNB1,IKBKB,IKBKG,NFKBIA,AKT1,RHOT1,MAPK3,PRKCE,GSK3B,CHUK,AKT2,GRB2,GRM1,FGFR1,RGS7,FGFR2,IKBKE,ITPR1,ADRA1D,BTK,CALM1 (includes others),PLCG2,GNB2,NFATC2
IL-1 Signaling	1.51E00	1.96E-01	NaN	ECSIT,TOLLIP,MAP3K1,MAPK8,GNB5,ADCY6,IKBKE,IRAK1,TRAF6,GNB1,IKBKB,IKBKG,MAPK14,NFKBIA,GNB2,PRKACA,CHUK,IRAK2
D-myo-inositol-5-phosphate Metabolism	1.49E00	1.73E-01	NaN	PPP1R12C,PTPN23,PTPN2,MTMR9,NUDT3,IGBP1,STYX,STYXL1,PPP4C,PTEN,CDC25B,SET,PPP1CC,ATP1A1,PPP1R12A,PDCD1,DUSP10,PTPN1,PPP1CA,RASA1,PTPRN,PPFIA1,CDC25C,PTPN6,DUSP14,PLCG2,DUSP13,PPM1H
Ephrin B Signaling	1.48E00	2.05E-01	NaN	RAC2,KALRN,ITSN1,CFL1,AXIN1,GNB5,HNRNPK,GNB1,CBL,ABI1,MAPK3,EFNB1,GNB2,ITSN2,CTNNB1
Isoleucine Degradation I	1.48E00	3.57E-01	NaN	BCAT1,ECHS1,BCAT2,DLD,ACAT1
Tec Kinase Signaling	1.47E00	1.71E-01	NaN	FYN,GTF2I,PIK3R1,GNB5,FAS,GNB1,RHOT1,PRKCE,STAT5B,ACTC1,ACTA1,ITGA4,ITGB1,SRC,STAT6,GRB2,FGFR1,ACTB,TYK2,MAPK8,ITGA5,FGFR2,BMX,STAT3,BTK,ACTA2,PLCG2,GNB2,LYN
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.45E00	1.8E-01	NaN	TP53,RAF1,AKT2,RALA,NRAS,SMAD9,GRB2,AXIN1,PIK3R1,FGFR1,RALB,TYK2,FGFR2,KRAS,STAT3,SOX2,AKT1,MAPK3,GSK3B,CTNNB1,SMAD1,BMP1,POU5F1
Th1 Pathway	1.45E00	1.78E-01	NaN	CD247,ICAM1,PSENEN,IL12RB1,GRB2,HLA-A,CD4,HAVCR2,PIK3R1,FGFR1,HLA-B,TYK2,FGFR2,NCSTN,PSEN2,STAT3,CD3D,NFATC1,APH1A,APH1B,NFATC2,NOTCH1,HLA-DPA1,PSEN1
Signaling by Rho Family GTPases	1.44E00	1.59E-01	NaN	RAF1,PPP1R12C,SEPT9,PIK3R1,ARHGEF7,GNB5,IQGAP1,SLC9A1,GNB1,MAP3K10,PPP1R12A,RHOT1,EZR,MAPK3,GFAP,CDH13,ACTC1,ACTA1,ITGA4,ITGB1,ACTR2,NEDD4,CFL1,GRB2,FGFR1,ACTB,MAPK8,FGFR2,VIM,ITGA5,DES,CDH2,CDH1,ACTA2,CDH5,ARHGEF16,GNB2,CDH8,PARD3,ARHGEF10
VEGF Family Ligand-Receptor Interactions	1.44E00	1.91E-01	NaN	RAF1,AKT2,RALA,NRAS,GRB2,PIK3R1,PLA2G10,FGFR1,RALB,FGFR2,KRAS,NOS3,PLA2G2A,AKT1,PLCG2,MAPK3,PRKCE,NRP1
Th2 Pathway	1.43E00	1.73E-01	NaN	CD247,STAT6,JAG2,TGFBR1,ICAM1,PSENEN,GRB2,IL12RB1,HLA-A,CHD4,FGFR1,PIK3R1,CD4,TYK2,HLA-B,FGFR2,NCSTN,PSEN2,CD3D,APH1A,APH1B,NFATC2,STAT5B,NOTCH1,HLA-DPA1,PSEN1
Cell Cycle Regulation by BTG Family Proteins	1.38E00	2.43E-01	NaN	PPP2CB,PPP2R1A,PPP2R2A,PPP2CA,PPM1J,PPP2R2B,PPP2R2C,PPP2R1B,CDK2
autophagy	1.38E00	2.1E-01	NaN	ATG5,VPS18,ULK1,VPS16,VPS41,BECN1,BCL2,MTOR,CTSH,MAP1LC3A,SQSTM1,NBR1,CTSC
Thrombin Signaling	1.38E00	1.62E-01	NaN	RAF1,MPRIP,RALA,F2R,PDIA3,PIK3R1,GNB5,KRAS,GNB1,IKBKB,AKT1,PPP1R12A,RHOT1,MAPK3,CREB1,PRKCE,EGFR,CAMK2B,SRC,RPS6KB1,AKT2,NRAS,GRB2,FGFR1,RALB,TBP,ADCY6,FGFR2,ITPR1,MAPK14,ARHGEF16,PLCG2,GNB2,ARHGEF10
Superpathway of Citrulline Metabolism	1.36E00	3.33E-01	NaN	ASS1,GLS,ALDH18A1,NOS2,NOS3
Pyrimidine Ribonucleotides Interconversion	1.33E00	2.27E-01	NaN	NUDT18,NME4,ENTPD1,HNRNPA1,ENTPD6,CTPS2,AK4,PCK1,NME7,DHX9
Chemokine Signaling	1.3E00	1.95E-01	NaN	SRC,RAF1,RALA,MPRIP,NRAS,CFL1,RALB,MAPK8,KRAS,CALM1 (includes others),MAPK14,PPP1R12A,PLCG2,MAPK3,CAMK2B
Dopamine Receptor Signaling	1.3E00	1.95E-01	NaN	PPP2CA,PPP2R2A,ADCY6,PPP2CB,PPP1CC,PPP2R1A,PPP1R12A,PPM1J,PPP2R2B,PRKACA,PPP2R2C,SLC18A1,PPP1CA,PPP2R1B,PCBD1
Parkinson's Signaling	1.24E00	3.12E-01	NaN	MAPK14,CASP3,MAPK8,PRKN,SNCA
Purine Nucleotides De Novo Biosynthesis II	1.24E00	3.64E-01	NaN	ADSL,IMPDH2,PFAS,PPAT
Nitric Oxide Signaling in the Cardiovascular System	1.24E00	1.77E-01	NaN	KNG1,AKT2,GRB2,PIK3R1,FGFR1,RYR2,SLC7A1,FGFR2,ITPR1,NOS3,ATP2A2,CACNA1A,CALM1 (includes others),HSP90B1,AKT1,HSP90AB1,MAPK3,PRKACA,PRKCE,HSP90AA1
SPINK1 General Cancer Pathway	1.21E00	1.9E-01	NaN	RAF1,AKT2,RALA,NRAS,GRB2,FGFR1,PIK3R1,TYK2,RALB,FGFR2,KRAS,STAT3,AKT1,MAPK3,EGFR
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.21E00	2.17E-01	NaN	TRAF6,RAF1,MAPK3,CREB1,CREB3,CREBBP,RPS6KA1,IL17RA,ATF2,EP300
Synaptic Long Term Depression	1.2E00	1.61E-01	NaN	RAF1,RALA,PPP2R2A,PPP2CA,PDIA3,PLA2G10,KRAS,CACNB3,NOS3,PPM1J,MAPK3,PRKCE,PPP2R2C,NOS2,NRAS,GRM1,RYR2,CACNB4,RALB,ITPR1,PLA2G2A,CACNA1A,PPP2CB,PPP2R1A,PLCG2,PPP2R2B,CACNA2D1,LYN,PPP2R1B
Dendritic Cell Maturation	1.19E00	1.59E-01	NaN	ICAM1,HLA-A,PDIA3,PIK3R1,HLA-B,CD83,IGHG1,FCGR2B,FCGR1A,EP300,IKBKB,IKBKG,AKT1,NFKBIA,MAPK3,CREB1,CHUK,AKT2,TNFRSF1A,GRB2,FGFR1,CREB3,CREBBP,MAPK8,FGFR2,IKBKE,ATF2,TRAF6,COL1A1,MAPK14,PLCG2
fMLP Signaling in Neutrophils	1.19E00	1.71E-01	NaN	RAF1,ACTR2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,GNB5,FPR2,FGFR2,KRAS,ITPR1,NFATC1,GNB1,CALM1 (includes others),IKBKG,NFKBIA,MAPK3,GNB2,PRKCE,NFATC2
Bladder Cancer Signaling	1.17E00	1.81E-01	NaN	TP53,CDKN2A,RAF1,RALA,NRAS,PA2G4,SUV39H1,RALB,ABL1,KRAS,FGF13,MYC,CDH1,MAPK3,CDKN1A,ERBB2,EGFR
5-aminoimidazole Ribonucleotide Biosynthesis I	1.15E00	6.67E-01	NaN	PFAS,PPAT
Oxidized GTP and dGTP Detoxification	1.15E00	6.67E-01	NaN	DDX6,RUVBL2
Antiproliferative Role of Somatostatin Receptor 2	1.14E00	1.85E-01	NaN	SRC,PTPN6,NRAS,RALA,GRB2,FGFR1,PIK3R1,RALB,GNB5,FGFR2,KRAS,GNB1,MAPK3,CDKN1A,GNB2
HMGB1 Signaling	1.11E00	1.65E-01	NaN	VCAM1,AKT2,ICAM1,RALA,NRAS,GRB2,TNFRSF1A,PIK3R1,FGFR1,RALB,MAPK8,RBBP7,FGFR2,KRAS,HMGB1,KAT2B,MAPK14,AKT1,SP1,RHOT1,KAT6A,MAPK3,KAT2A
TREM1 Signaling	1.1E00	1.87E-01	NaN	ITGB1,AKT2,NLRP3,ICAM1,GRB2,ITGA5,CD83,STAT3,FCGR2B,IRAK1,AKT1,PLCG2,MAPK3,STAT5B
GDNF Family Ligand-Receptor Interactions	1.1E00	1.83E-01	NaN	RAF1,NRAS,RALA,GRB2,FGFR1,PIK3R1,RALB,MAPK8,FGFR2,KRAS,ITPR1,PLCG2,MAPK3,CREB1,RASA1
Actin Nucleation by ARP-WASP Complex	1.08E00	1.94E-01	NaN	ITGB1,ACTR2,NRAS,RALA,PPP1R12C,PPP1R12A,GRB2,RHOT1,RALB,ITGA5,KRAS,ITGA4
Th1 and Th2 Activation Pathway	1.08E00	1.57E-01	NaN	CD247,TGFBR1,ICAM1,PSENEN,CHD4,HLA-A,IL12RB1,HAVCR2,CD4,PIK3R1,HLA-B,NCSTN,PSEN2,NFATC1,STAT5B,HLA-DPA1,STAT6,JAG2,GRB2,FGFR1,TYK2,FGFR2,STAT3,CD3D,APH1A,APH1B,NFATC2,NOTCH1,PSEN1
Role of IL-17A in Arthritis	1.07E00	1.88E-01	NaN	GRB2,FGFR1,PIK3R1,MAPK8,FGFR2,IL17RA,ATF2,IKBKG,MAPK14,NFKBIA,MAPK3,RPS6KA1,NOS2
FXR/RXR Activation	1.07E00	1.67E-01	NaN	KNG1,PPARG,APOE,AKT2,APOB,SDC1,SLC4A2,FOXA1,VTN,CREBBP,MAPK8,ALB,AKT1,PCK2,SREBF1,SLC51A,FOXA2,PLTP,RXRA,FOXA3,CLU
Regulation of Actin-based Motility by Rho	1.07E00	1.78E-01	NaN	ITGB1,RAC2,ACTR2,PFN1,MPRIP,ACTA2,PPP1R12A,CFL1,RHOT1,ACTB,PFN2,ITGA5,ARHGDIA,ACTC1,ACTA1,ITGA4
Interferon Signaling	1.07E00	2.22E-01	NaN	PTPN2,PIAS1,TYK2,BAX,TAP1,BAK1,BCL2,ISG15
Tumoricidal Function of Hepatic Natural Killer Cells	1.05E00	2.5E-01	NaN	ICAM1,CASP3,BAX,CASP8,FAS,CASP7
Role of p14/p19ARF in Tumor Suppression	1.04E00	2.09E-01	NaN	CDKN2A,TP53,NPM1,GRB2,FGFR1,PIK3R1,SENP3,FGFR2,POLR3D
Primary Immunodeficiency Signaling	1.03E00	2E-01	NaN	RFXANK,BTK,IKBKG,CD4,ZAP70,ADA,CD79A,IGHG1,CD3D,TAP1
Assembly of RNA Polymerase III Complex	1.03E00	3.08E-01	NaN	GTF3C3,TBP,BRF2,POLR3D
Cholesterol Biosynthesis I	1.03E00	3.08E-01	NaN	FDFT1,EBP,MSMO1,SC5D
Mevalonate Pathway I	1.03E00	3.08E-01	NaN	MVD,ACAT1,HMGCR,HMGCS1
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	1.03E00	3.08E-01	NaN	FDFT1,EBP,MSMO1,SC5D
Cholesterol Biosynthesis III (via Desmosterol)	1.03E00	3.08E-01	NaN	FDFT1,EBP,MSMO1,SC5D
Apelin Cardiomyocyte Signaling Pathway	1.03E00	1.68E-01	NaN	AKT2,APLNR,PDIA3,GRB2,PIK3R1,FGFR1,MAPK8,MAPK6,FGFR2,ITPR1,HIF1A,NOS3,SLC9A1,ATP2A2,MAPK14,AKT1,PLCG2,MAPK3,PRKCE
